subject,age,sex,handedness,has_subject_directory,has_eeg_metadata,has_events,has_behavior,event_trials,behavior_trials,matched_trials,event_only_trials,behavior_only_trials,raw_payload_materialized
sub-mit002,23,F,r,False,False,False,False,0,0,0,0,0,False
sub-mit003,23,M,r,True,True,True,True,11,11,11,0,0,True
sub-mit004,24,M,r,True,True,True,True,11,11,11,0,0,False
sub-mit007,24,M,r,True,True,True,True,10,11,10,0,1,False
sub-mit014,26,M,r,True,True,True,True,9,9,9,0,0,False
sub-mit017,22,F,r,True,True,True,True,11,11,11,0,0,False
sub-mit022,23,F,r,True,True,True,True,11,11,11,0,0,False
sub-mit023,24,M,r,True,True,True,True,11,11,11,0,0,False
sub-mit024,23,M,r,True,True,True,True,10,10,10,0,0,False
sub-mit032,23,M,r,True,True,True,True,11,11,11,0,0,False
sub-mit035,21,M,r,True,True,True,True,11,11,11,0,0,False
sub-mit039,22,M,r,True,True,True,True,11,11,11,0,0,False
sub-mit040,25,M,r,True,True,True,True,11,11,11,0,0,False
sub-mit042,22,F,r,False,False,False,False,0,0,0,0,0,False
sub-mit051,23,M,r,True,True,True,True,11,11,11,0,0,False
sub-mit052,23,M,r,True,True,True,True,11,11,11,0,0,False
sub-mit054,24,M,r,True,True,True,True,11,11,11,0,0,False
sub-mit056,24,M,r,False,False,False,False,0,0,0,0,0,False
sub-mit061,22,M,r,True,True,True,True,11,11,11,0,0,False
sub-mit064,23,M,r,False,False,False,False,0,0,0,0,0,False
sub-mit067,23,M,r,True,True,True,True,10,10,10,0,0,False
sub-mit072,23,M,r,True,True,True,True,11,9,9,2,0,False
sub-mit074,23,M,r,True,True,True,False,11,0,0,11,0,False
sub-mit075,23,M,r,False,False,False,False,0,0,0,0,0,False
sub-mit076,24,M,r,True,True,True,True,10,10,10,0,0,False
sub-mit079,23,M,r,True,True,True,False,10,0,0,10,0,False
sub-mit080,25,M,r,True,True,True,False,11,0,0,11,0,False
sub-mit081,22,M,r,True,False,True,True,11,11,11,0,0,False
sub-mit082,23,M,r,True,True,True,True,11,11,11,0,0,False
sub-mit085,23,F,r,False,False,False,False,0,0,0,0,0,False
sub-mit086,25,F,r,False,False,False,False,0,0,0,0,0,False
sub-mit087,25,M,r,False,False,False,False,0,0,0,0,0,False
sub-mit091,24,M,r,False,False,False,False,0,0,0,0,0,False
sub-mit093,23,F,r,False,False,False,False,0,0,0,0,0,False
sub-mit096,22,M,r,True,True,True,True,11,11,11,0,0,False
sub-mit097,26,M,r,True,True,True,True,11,11,11,0,0,False
sub-mit099,22,M,r,True,True,True,True,10,11,10,0,1,False
sub-mit100,23,F,r,False,False,False,False,0,0,0,0,0,False
sub-mit104,23,M,r,True,True,True,False,11,0,0,11,0,False
sub-mit106,23,M,r,True,True,True,False,11,0,0,11,0,False
sub-mit107,23,M,r,True,True,True,False,11,0,0,11,0,False
sub-mit108,22,M,r,True,False,True,True,11,11,11,0,0,False
sub-mit111,26,M,r,True,True,True,True,11,11,11,0,0,False
sub-mit113,23,M,r,True,True,True,True,11,11,11,0,0,False
sub-mit114,24,M,r,True,True,True,True,11,11,11,0,0,False
sub-mit116,26,M,r,True,True,True,True,11,11,11,0,0,False
sub-mit117,24,M,r,True,True,True,True,11,11,11,0,0,False
sub-mit118,24,F,r,False,False,False,False,0,0,0,0,0,False
sub-mit121,24,M,r,True,True,True,True,11,11,11,0,0,False
sub-mit122,24,M,r,True,True,True,True,11,11,11,0,0,False
sub-mit123,23,F,r,True,True,True,True,11,11,11,0,0,False
sub-mitb2017007,19,M,r,True,True,True,True,11,11,11,0,0,False
sub-mitr008,22,F,r,False,False,False,False,0,0,0,0,0,False
sub-mitr009,26,F,r,False,False,False,False,0,0,0,0,0,False
