subject,event_trial_index,behavior_trial_index,stimulus,stimulus_key,event_label,onset_samples,end_samples,onset_seconds,end_seconds,duration_seconds,sampling_frequency_hz,recording_duration_seconds,match_status,validation_issues,eeg_set_path,eeg_fdt_path,events_path,behavior_path,valence,arousal,dominance,liking,familiarity,relevance,emotionCateg,Quadrant,FivePointScale,MouseClick
sub-mit003,1.0,1.0,neutral_1.mp4,neutral_1,neutral_1_1,123630.993068,138755.493611,494.523972272,555.0219744440001,60.4980021720001,250.0,2696.356,matched,,sub-mit003/eeg/sub-mit003_task-Emotion_eeg.set,sub-mit003/eeg/sub-mit003_task-Emotion_eeg.fdt,sub-mit003/eeg/sub-mit003_task-emotion_events.tsv,sub-mit003/beh/sub-mit003_task-Emotion_beh.tsv,8.97,7.95,7.04,5.0,4.0,3.98,{},,,
sub-mit003,2.0,2.0,12.m4v,12,12_2,148401.24445,163525.993936,593.6049778,654.1039757440001,60.49899794400005,250.0,2696.356,matched,,sub-mit003/eeg/sub-mit003_task-Emotion_eeg.set,sub-mit003/eeg/sub-mit003_task-Emotion_eeg.fdt,sub-mit003/eeg/sub-mit003_task-emotion_events.tsv,sub-mit003/beh/sub-mit003_task-Emotion_beh.tsv,9.0,9.0,8.07,5.0,5.0,4.98,"{'0': [u'Joyous: Full of happiness and joy', u'', u'', u'', '']}",HVHA,['very much'],[29.909742832183838]
sub-mit003,3.0,3.0,8.m4v,8,8_3,178767.492436,193891.992979,715.069969744,775.567971916,60.49800217200004,250.0,2696.356,matched,,sub-mit003/eeg/sub-mit003_task-Emotion_eeg.set,sub-mit003/eeg/sub-mit003_task-Emotion_eeg.fdt,sub-mit003/eeg/sub-mit003_task-emotion_events.tsv,sub-mit003/beh/sub-mit003_task-Emotion_beh.tsv,7.01,6.0,6.5,4.0,4.0,3.25,{},,,
sub-mit003,4.0,4.0,4.mp4,4,4_4,203362.244368,218486.993853,813.448977472,873.947975412,60.49899793999998,250.0,2696.356,matched,,sub-mit003/eeg/sub-mit003_task-Emotion_eeg.set,sub-mit003/eeg/sub-mit003_task-Emotion_eeg.fdt,sub-mit003/eeg/sub-mit003_task-emotion_events.tsv,sub-mit003/beh/sub-mit003_task-Emotion_beh.tsv,1.05,7.1,5.04,1.0,2.0,1.0,{},,,
sub-mit003,5.0,5.0,15.mp4,15,15_5,228833.722363,243962.47253,915.3348894520001,975.8498901199999,60.51500066799986,250.0,2696.356,matched,,sub-mit003/eeg/sub-mit003_task-Emotion_eeg.set,sub-mit003/eeg/sub-mit003_task-Emotion_eeg.fdt,sub-mit003/eeg/sub-mit003_task-emotion_events.tsv,sub-mit003/beh/sub-mit003_task-Emotion_beh.tsv,1.0,7.95,6.02,2.0,3.0,2.5,{},,,
sub-mit003,6.0,6.0,17.mp4,17,17_6,260060.723072,275185.472558,1040.242892288,1100.741890232,60.498997944000166,250.0,2696.356,matched,,sub-mit003/eeg/sub-mit003_task-Emotion_eeg.set,sub-mit003/eeg/sub-mit003_task-Emotion_eeg.fdt,sub-mit003/eeg/sub-mit003_task-emotion_events.tsv,sub-mit003/beh/sub-mit003_task-Emotion_beh.tsv,4.42,7.53,6.2,4.0,4.0,3.48,"{'0': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', '']}",HVHA,['quit a bit'],[10.953299283981323]
sub-mit003,7.0,7.0,16.mp4,16,16_7,307649.722642,322774.472127,1230.5988905680001,1291.0978885079999,60.498997939999754,250.0,2696.356,matched,,sub-mit003/eeg/sub-mit003_task-Emotion_eeg.set,sub-mit003/eeg/sub-mit003_task-Emotion_eeg.fdt,sub-mit003/eeg/sub-mit003_task-emotion_events.tsv,sub-mit003/beh/sub-mit003_task-Emotion_beh.tsv,1.0,8.03,7.95,1.0,4.0,3.61,"{'1': [u'', u'Angry: Feeling or showing strong annoyance, displeasure, or hostility, full of anger', u'', u'', ''], '0': [u'', u'Hate: Have a strong aversion to (something)', u'', u'', '']}",HVHA,"['quit a bit', 'very much']","[24.978188037872314, 43.734498023986816]"
sub-mit003,8.0,8.0,neutral_2.mp4,neutral_2,neutral_2_8,361654.737354,376779.237897,1446.6189494159999,1507.116951588,60.49800217200004,250.0,2696.356,matched,,sub-mit003/eeg/sub-mit003_task-Emotion_eeg.set,sub-mit003/eeg/sub-mit003_task-Emotion_eeg.fdt,sub-mit003/eeg/sub-mit003_task-emotion_events.tsv,sub-mit003/beh/sub-mit003_task-Emotion_beh.tsv,6.06,7.01,5.81,4.0,4.0,2.32,{},,,
sub-mit003,9.0,9.0,7.mp4,7,7_9,383754.48924,398879.238725,1535.01795696,1595.5169549,60.49899793999998,250.0,2696.356,matched,,sub-mit003/eeg/sub-mit003_task-Emotion_eeg.set,sub-mit003/eeg/sub-mit003_task-Emotion_eeg.fdt,sub-mit003/eeg/sub-mit003_task-emotion_events.tsv,sub-mit003/beh/sub-mit003_task-Emotion_beh.tsv,3.07,6.87,5.81,4.0,4.0,2.98,"{'0': [u'', u'Alarmed: An anxious awareness of danger', u'', u'', '']}",HVHA,['quit a bit'],[52.51457381248474]
sub-mit003,10.0,10.0,2.m4v,2,2_10,423264.989578,438389.487606,1693.059958312,1753.557950424,60.49799211200002,250.0,2696.356,matched,,sub-mit003/eeg/sub-mit003_task-Emotion_eeg.set,sub-mit003/eeg/sub-mit003_task-Emotion_eeg.fdt,sub-mit003/eeg/sub-mit003_task-emotion_events.tsv,sub-mit003/beh/sub-mit003_task-Emotion_beh.tsv,1.0,9.0,6.83,1.0,5.0,3.68,"{'0': [u'', u'Hate: Have a strong aversion to (something)', u'', u'', '']}",HVHA,['very much'],[33.66934895515442]
