protocol,stage,outer_fold,inner_fold,task,partition,sample_id,subject,trial,split_group,label
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-01_window-001,sub-mit061,1,sub-mit061_trial-01,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-01_window-002,sub-mit061,1,sub-mit061_trial-01,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-01_window-003,sub-mit061,1,sub-mit061_trial-01,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-01_window-004,sub-mit061,1,sub-mit061_trial-01,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-01_window-005,sub-mit061,1,sub-mit061_trial-01,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-01_window-006,sub-mit061,1,sub-mit061_trial-01,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-01_window-011,sub-mit061,1,sub-mit061_trial-01,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-01_window-012,sub-mit061,1,sub-mit061_trial-01,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-01_window-013,sub-mit061,1,sub-mit061_trial-01,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-01_window-014,sub-mit061,1,sub-mit061_trial-01,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-01_window-015,sub-mit061,1,sub-mit061_trial-01,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-01_window-019,sub-mit061,1,sub-mit061_trial-01,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-01_window-020,sub-mit061,1,sub-mit061_trial-01,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-01_window-021,sub-mit061,1,sub-mit061_trial-01,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-01_window-022,sub-mit061,1,sub-mit061_trial-01,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-01_window-023,sub-mit061,1,sub-mit061_trial-01,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-01_window-024,sub-mit061,1,sub-mit061_trial-01,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-01_window-025,sub-mit061,1,sub-mit061_trial-01,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-01_window-028,sub-mit061,1,sub-mit061_trial-01,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-01_window-029,sub-mit061,1,sub-mit061_trial-01,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-02_window-001,sub-mit061,2,sub-mit061_trial-02,low
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-02_window-003,sub-mit061,2,sub-mit061_trial-02,low
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-02_window-005,sub-mit061,2,sub-mit061_trial-02,low
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-02_window-006,sub-mit061,2,sub-mit061_trial-02,low
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-02_window-007,sub-mit061,2,sub-mit061_trial-02,low
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-02_window-008,sub-mit061,2,sub-mit061_trial-02,low
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-02_window-009,sub-mit061,2,sub-mit061_trial-02,low
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-02_window-010,sub-mit061,2,sub-mit061_trial-02,low
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-02_window-011,sub-mit061,2,sub-mit061_trial-02,low
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-02_window-012,sub-mit061,2,sub-mit061_trial-02,low
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-02_window-013,sub-mit061,2,sub-mit061_trial-02,low
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-02_window-014,sub-mit061,2,sub-mit061_trial-02,low
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-02_window-015,sub-mit061,2,sub-mit061_trial-02,low
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-02_window-016,sub-mit061,2,sub-mit061_trial-02,low
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-02_window-017,sub-mit061,2,sub-mit061_trial-02,low
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-02_window-018,sub-mit061,2,sub-mit061_trial-02,low
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-02_window-019,sub-mit061,2,sub-mit061_trial-02,low
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-02_window-020,sub-mit061,2,sub-mit061_trial-02,low
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-02_window-021,sub-mit061,2,sub-mit061_trial-02,low
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-02_window-022,sub-mit061,2,sub-mit061_trial-02,low
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-02_window-023,sub-mit061,2,sub-mit061_trial-02,low
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-02_window-024,sub-mit061,2,sub-mit061_trial-02,low
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-02_window-025,sub-mit061,2,sub-mit061_trial-02,low
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-02_window-026,sub-mit061,2,sub-mit061_trial-02,low
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-02_window-027,sub-mit061,2,sub-mit061_trial-02,low
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-02_window-028,sub-mit061,2,sub-mit061_trial-02,low
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-02_window-029,sub-mit061,2,sub-mit061_trial-02,low
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-03_window-001,sub-mit061,3,sub-mit061_trial-03,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-03_window-002,sub-mit061,3,sub-mit061_trial-03,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-03_window-003,sub-mit061,3,sub-mit061_trial-03,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-03_window-004,sub-mit061,3,sub-mit061_trial-03,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-03_window-009,sub-mit061,3,sub-mit061_trial-03,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-03_window-010,sub-mit061,3,sub-mit061_trial-03,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-03_window-011,sub-mit061,3,sub-mit061_trial-03,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-03_window-012,sub-mit061,3,sub-mit061_trial-03,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-03_window-013,sub-mit061,3,sub-mit061_trial-03,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-03_window-019,sub-mit061,3,sub-mit061_trial-03,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-03_window-020,sub-mit061,3,sub-mit061_trial-03,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-03_window-021,sub-mit061,3,sub-mit061_trial-03,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-03_window-022,sub-mit061,3,sub-mit061_trial-03,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-03_window-023,sub-mit061,3,sub-mit061_trial-03,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-03_window-024,sub-mit061,3,sub-mit061_trial-03,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-03_window-025,sub-mit061,3,sub-mit061_trial-03,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-03_window-026,sub-mit061,3,sub-mit061_trial-03,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-03_window-027,sub-mit061,3,sub-mit061_trial-03,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-03_window-028,sub-mit061,3,sub-mit061_trial-03,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-03_window-029,sub-mit061,3,sub-mit061_trial-03,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-04_window-001,sub-mit061,4,sub-mit061_trial-04,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-04_window-002,sub-mit061,4,sub-mit061_trial-04,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-04_window-003,sub-mit061,4,sub-mit061_trial-04,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-04_window-004,sub-mit061,4,sub-mit061_trial-04,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-04_window-008,sub-mit061,4,sub-mit061_trial-04,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-04_window-009,sub-mit061,4,sub-mit061_trial-04,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-04_window-010,sub-mit061,4,sub-mit061_trial-04,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-04_window-012,sub-mit061,4,sub-mit061_trial-04,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-04_window-013,sub-mit061,4,sub-mit061_trial-04,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-04_window-014,sub-mit061,4,sub-mit061_trial-04,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-04_window-015,sub-mit061,4,sub-mit061_trial-04,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-04_window-016,sub-mit061,4,sub-mit061_trial-04,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-04_window-017,sub-mit061,4,sub-mit061_trial-04,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-04_window-018,sub-mit061,4,sub-mit061_trial-04,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-04_window-019,sub-mit061,4,sub-mit061_trial-04,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-04_window-020,sub-mit061,4,sub-mit061_trial-04,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-04_window-021,sub-mit061,4,sub-mit061_trial-04,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-04_window-022,sub-mit061,4,sub-mit061_trial-04,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-04_window-023,sub-mit061,4,sub-mit061_trial-04,high
cross_subject_nested_loso,inner_selection,1,1,valence_binary_fixed5,train,sub-mit061_trial-04_window-024,sub-mit061,4,sub-mit061_trial-04,high
