sample_id,subject,cohort_role,trial,split_group,window_index,start_sample,stop_sample,fif_path,qc_status,valence_label,arousal_label,quadrant_label,sample_weight,start_seconds,end_seconds,samples,sampling_rate_hz,valence,arousal,eligible_valence_binary_fixed5,label_valence_binary_fixed5,eligible_arousal_binary_fixed5,label_arousal_binary_fixed5,eligible_quadrant_fixed5,label_quadrant_fixed5
sub-mit003_trial-01_window-001,sub-mit003,modeling_primary,1,sub-mit003_trial-01,1,0,1000,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,pass,high,high,HVHA,0.038461538461538464,0.0,4.0,1000,250,8.97,7.95,True,high,True,high,True,HVHA
sub-mit003_trial-01_window-002,sub-mit003,modeling_primary,1,sub-mit003_trial-01,2,500,1500,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,pass,high,high,HVHA,0.038461538461538464,2.0,6.0,1000,250,8.97,7.95,True,high,True,high,True,HVHA
sub-mit003_trial-01_window-003,sub-mit003,modeling_primary,1,sub-mit003_trial-01,3,1000,2000,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,pass,high,high,HVHA,0.038461538461538464,4.0,8.0,1000,250,8.97,7.95,True,high,True,high,True,HVHA
sub-mit003_trial-01_window-004,sub-mit003,modeling_primary,1,sub-mit003_trial-01,4,1500,2500,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,pass,high,high,HVHA,0.038461538461538464,6.0,10.0,1000,250,8.97,7.95,True,high,True,high,True,HVHA
sub-mit003_trial-01_window-005,sub-mit003,modeling_primary,1,sub-mit003_trial-01,5,2000,3000,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,pass,high,high,HVHA,0.038461538461538464,8.0,12.0,1000,250,8.97,7.95,True,high,True,high,True,HVHA
sub-mit003_trial-01_window-006,sub-mit003,modeling_primary,1,sub-mit003_trial-01,6,2500,3500,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,pass,high,high,HVHA,0.038461538461538464,10.0,14.0,1000,250,8.97,7.95,True,high,True,high,True,HVHA
sub-mit003_trial-01_window-007,sub-mit003,modeling_primary,1,sub-mit003_trial-01,7,3000,4000,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,pass,high,high,HVHA,0.038461538461538464,12.0,16.0,1000,250,8.97,7.95,True,high,True,high,True,HVHA
sub-mit003_trial-01_window-008,sub-mit003,modeling_primary,1,sub-mit003_trial-01,8,3500,4500,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,pass,high,high,HVHA,0.038461538461538464,14.0,18.0,1000,250,8.97,7.95,True,high,True,high,True,HVHA
sub-mit003_trial-01_window-009,sub-mit003,modeling_primary,1,sub-mit003_trial-01,9,4000,5000,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,pass,high,high,HVHA,0.038461538461538464,16.0,20.0,1000,250,8.97,7.95,True,high,True,high,True,HVHA
sub-mit003_trial-01_window-010,sub-mit003,modeling_primary,1,sub-mit003_trial-01,10,4500,5500,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,pass,high,high,HVHA,0.038461538461538464,18.0,22.0,1000,250,8.97,7.95,True,high,True,high,True,HVHA
sub-mit003_trial-01_window-011,sub-mit003,modeling_primary,1,sub-mit003_trial-01,11,5000,6000,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,pass,high,high,HVHA,0.038461538461538464,20.0,24.0,1000,250,8.97,7.95,True,high,True,high,True,HVHA
sub-mit003_trial-01_window-012,sub-mit003,modeling_primary,1,sub-mit003_trial-01,12,5500,6500,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,pass,high,high,HVHA,0.038461538461538464,22.0,26.0,1000,250,8.97,7.95,True,high,True,high,True,HVHA
