protocol,task,partition,sample_id,subject,trial,split_group,label,valence
single_class_sensitivity,valence_binary_fixed5,refit,sub-mit003_trial-01_window-001,sub-mit003,1,sub-mit003_trial-01,high,8.97
single_class_sensitivity,valence_binary_fixed5,refit,sub-mit003_trial-01_window-002,sub-mit003,1,sub-mit003_trial-01,high,8.97
single_class_sensitivity,valence_binary_fixed5,refit,sub-mit003_trial-01_window-003,sub-mit003,1,sub-mit003_trial-01,high,8.97
single_class_sensitivity,valence_binary_fixed5,refit,sub-mit003_trial-01_window-004,sub-mit003,1,sub-mit003_trial-01,high,8.97
single_class_sensitivity,valence_binary_fixed5,refit,sub-mit003_trial-01_window-005,sub-mit003,1,sub-mit003_trial-01,high,8.97
single_class_sensitivity,valence_binary_fixed5,refit,sub-mit003_trial-01_window-006,sub-mit003,1,sub-mit003_trial-01,high,8.97
single_class_sensitivity,valence_binary_fixed5,refit,sub-mit003_trial-01_window-007,sub-mit003,1,sub-mit003_trial-01,high,8.97
single_class_sensitivity,valence_binary_fixed5,refit,sub-mit003_trial-01_window-008,sub-mit003,1,sub-mit003_trial-01,high,8.97
single_class_sensitivity,valence_binary_fixed5,refit,sub-mit003_trial-01_window-009,sub-mit003,1,sub-mit003_trial-01,high,8.97
single_class_sensitivity,valence_binary_fixed5,refit,sub-mit003_trial-01_window-010,sub-mit003,1,sub-mit003_trial-01,high,8.97
single_class_sensitivity,valence_binary_fixed5,refit,sub-mit003_trial-01_window-011,sub-mit003,1,sub-mit003_trial-01,high,8.97
single_class_sensitivity,valence_binary_fixed5,refit,sub-mit003_trial-01_window-012,sub-mit003,1,sub-mit003_trial-01,high,8.97
single_class_sensitivity,valence_binary_fixed5,refit,sub-mit003_trial-01_window-013,sub-mit003,1,sub-mit003_trial-01,high,8.97
single_class_sensitivity,valence_binary_fixed5,refit,sub-mit003_trial-01_window-014,sub-mit003,1,sub-mit003_trial-01,high,8.97
single_class_sensitivity,valence_binary_fixed5,refit,sub-mit003_trial-01_window-015,sub-mit003,1,sub-mit003_trial-01,high,8.97
single_class_sensitivity,valence_binary_fixed5,refit,sub-mit003_trial-01_window-016,sub-mit003,1,sub-mit003_trial-01,high,8.97
single_class_sensitivity,valence_binary_fixed5,refit,sub-mit003_trial-01_window-019,sub-mit003,1,sub-mit003_trial-01,high,8.97
single_class_sensitivity,valence_binary_fixed5,refit,sub-mit003_trial-01_window-020,sub-mit003,1,sub-mit003_trial-01,high,8.97
