protocol,repeat,fold,task,partition,sample_id,subject,trial,split_group,label,valence,subject_relative_threshold,label_subject_relative,eligible_subject_relative
subject_dependent_repeated_stratified_2fold,1,1,valence_binary_fixed5,test,sub-mit003_trial-01_window-001,sub-mit003,1,sub-mit003_trial-01,high,8.97,4.42,high,True
subject_dependent_repeated_stratified_2fold,1,1,valence_binary_fixed5,test,sub-mit003_trial-01_window-002,sub-mit003,1,sub-mit003_trial-01,high,8.97,4.42,high,True
subject_dependent_repeated_stratified_2fold,1,1,valence_binary_fixed5,test,sub-mit003_trial-01_window-003,sub-mit003,1,sub-mit003_trial-01,high,8.97,4.42,high,True
subject_dependent_repeated_stratified_2fold,1,1,valence_binary_fixed5,test,sub-mit003_trial-01_window-004,sub-mit003,1,sub-mit003_trial-01,high,8.97,4.42,high,True
subject_dependent_repeated_stratified_2fold,1,1,valence_binary_fixed5,test,sub-mit003_trial-01_window-005,sub-mit003,1,sub-mit003_trial-01,high,8.97,4.42,high,True
subject_dependent_repeated_stratified_2fold,1,1,valence_binary_fixed5,test,sub-mit003_trial-01_window-006,sub-mit003,1,sub-mit003_trial-01,high,8.97,4.42,high,True
subject_dependent_repeated_stratified_2fold,1,1,valence_binary_fixed5,test,sub-mit003_trial-01_window-007,sub-mit003,1,sub-mit003_trial-01,high,8.97,4.42,high,True
subject_dependent_repeated_stratified_2fold,1,1,valence_binary_fixed5,test,sub-mit003_trial-01_window-008,sub-mit003,1,sub-mit003_trial-01,high,8.97,4.42,high,True
subject_dependent_repeated_stratified_2fold,1,1,valence_binary_fixed5,test,sub-mit003_trial-01_window-009,sub-mit003,1,sub-mit003_trial-01,high,8.97,4.42,high,True
subject_dependent_repeated_stratified_2fold,1,1,valence_binary_fixed5,test,sub-mit003_trial-01_window-010,sub-mit003,1,sub-mit003_trial-01,high,8.97,4.42,high,True
subject_dependent_repeated_stratified_2fold,1,1,valence_binary_fixed5,test,sub-mit003_trial-01_window-011,sub-mit003,1,sub-mit003_trial-01,high,8.97,4.42,high,True
subject_dependent_repeated_stratified_2fold,1,1,valence_binary_fixed5,test,sub-mit003_trial-01_window-012,sub-mit003,1,sub-mit003_trial-01,high,8.97,4.42,high,True
subject_dependent_repeated_stratified_2fold,1,1,valence_binary_fixed5,test,sub-mit003_trial-01_window-013,sub-mit003,1,sub-mit003_trial-01,high,8.97,4.42,high,True
subject_dependent_repeated_stratified_2fold,1,1,valence_binary_fixed5,test,sub-mit003_trial-01_window-014,sub-mit003,1,sub-mit003_trial-01,high,8.97,4.42,high,True
subject_dependent_repeated_stratified_2fold,1,1,valence_binary_fixed5,test,sub-mit003_trial-01_window-015,sub-mit003,1,sub-mit003_trial-01,high,8.97,4.42,high,True
subject_dependent_repeated_stratified_2fold,1,1,valence_binary_fixed5,test,sub-mit003_trial-01_window-016,sub-mit003,1,sub-mit003_trial-01,high,8.97,4.42,high,True
subject_dependent_repeated_stratified_2fold,1,1,valence_binary_fixed5,test,sub-mit003_trial-01_window-019,sub-mit003,1,sub-mit003_trial-01,high,8.97,4.42,high,True
subject_dependent_repeated_stratified_2fold,1,1,valence_binary_fixed5,test,sub-mit003_trial-01_window-020,sub-mit003,1,sub-mit003_trial-01,high,8.97,4.42,high,True
subject_dependent_repeated_stratified_2fold,1,1,valence_binary_fixed5,test,sub-mit003_trial-01_window-021,sub-mit003,1,sub-mit003_trial-01,high,8.97,4.42,high,True
subject_dependent_repeated_stratified_2fold,1,1,valence_binary_fixed5,test,sub-mit003_trial-01_window-022,sub-mit003,1,sub-mit003_trial-01,high,8.97,4.42,high,True
subject_dependent_repeated_stratified_2fold,1,1,valence_binary_fixed5,test,sub-mit003_trial-01_window-024,sub-mit003,1,sub-mit003_trial-01,high,8.97,4.42,high,True
