subject,task,label,primary_windows
sub-mit003,valence_binary,low,124
sub-mit003,valence_binary,high,85
sub-mit003,arousal_binary,high,209
sub-mit003,quadrant,LVHA,124
sub-mit003,quadrant,HVHA,85
sub-mit004,valence_binary,low,58
sub-mit004,valence_binary,high,24
sub-mit004,arousal_binary,high,66
sub-mit004,arousal_binary,low,16
sub-mit004,quadrant,LVHA,42
sub-mit004,quadrant,HVHA,24
sub-mit004,quadrant,LVLA,16
sub-mit061,valence_binary,high,124
sub-mit061,valence_binary,low,46
sub-mit061,valence_binary,ambiguous,26
sub-mit061,arousal_binary,high,118
sub-mit061,arousal_binary,low,78
sub-mit061,quadrant,HVHA,92
sub-mit061,quadrant,LVLA,46
sub-mit061,quadrant,HVLA,32
sub-mit061,quadrant,ambiguous,26
sub-mit076,valence_binary,low,96
sub-mit076,valence_binary,high,74
sub-mit076,valence_binary,ambiguous,11
sub-mit076,arousal_binary,high,159
sub-mit076,arousal_binary,low,22
sub-mit076,quadrant,LVHA,85
sub-mit076,quadrant,HVHA,74
sub-mit076,quadrant,LVLA,11
sub-mit076,quadrant,ambiguous,11
sub-mit117,valence_binary,low,9
sub-mit117,arousal_binary,high,9
sub-mit117,quadrant,LVHA,9
sub-mit121,valence_binary,low,148
sub-mit121,valence_binary,high,121
sub-mit121,arousal_binary,high,221
sub-mit121,arousal_binary,low,48
sub-mit121,quadrant,HVHA,121
sub-mit121,quadrant,LVHA,100
sub-mit121,quadrant,LVLA,48
sub-mit123,valence_binary,low,203
sub-mit123,valence_binary,high,43
sub-mit123,valence_binary,ambiguous,21
sub-mit123,arousal_binary,low,170
sub-mit123,arousal_binary,high,97
sub-mit123,quadrant,LVLA,106
sub-mit123,quadrant,LVHA,97
sub-mit123,quadrant,HVLA,43
sub-mit123,quadrant,ambiguous,21
