subject,nbchan,pnts,trials,expected_fdt_bytes,declared_fdt_bytes,size_ratio,integrity_status,issue,fdt_materialized
sub-mit003,132.0,674090.0,1.0,355919520.0,355919520.0,1.0,pass,,True
sub-mit004,132.0,430527.0,1.0,227318256.0,227318256.0,1.0,pass,,True
sub-mit007,132.0,433804.0,1.0,229048512.0,74643816.0,0.3258864916791077,fail,set_fdt_size_mismatch,True
sub-mit014,132.0,414751.0,1.0,218988528.0,74429688.0,0.3398793931342376,fail,set_fdt_size_mismatch,True
sub-mit017,132.0,405588.0,1.0,214150464.0,74591272.0,0.34831244633679614,fail,set_fdt_size_mismatch,True
sub-mit022,132.0,412771.0,1.0,217943088.0,74397672.0,0.3413628423948916,fail,set_fdt_size_mismatch,True
sub-mit023,132.0,404861.0,1.0,213766608.0,96318712.0,0.4505788481239315,fail,set_fdt_size_mismatch,True
sub-mit024,132.0,435399.0,1.0,229890672.0,96647144.0,0.42040480876927444,fail,set_fdt_size_mismatch,True
sub-mit032,132.0,384685.0,1.0,203113680.0,96188392.0,0.4735692445727929,fail,set_fdt_size_mismatch,True
sub-mit035,132.0,458047.0,1.0,241848816.0,96141312.0,0.3975264944030158,fail,set_fdt_size_mismatch,True
sub-mit039,132.0,358919.0,1.0,189509232.0,132643928.0,0.6999338586312249,fail,set_fdt_size_mismatch,False
sub-mit040,132.0,400517.0,1.0,211472976.0,133003624.0,0.6289391037841167,fail,set_fdt_size_mismatch,False
sub-mit051,132.0,529432.0,1.0,279540096.0,132675944.0,0.47462223093748956,fail,set_fdt_size_mismatch,False
sub-mit052,132.0,762063.0,1.0,402369264.0,132840536.0,0.33014583340540643,fail,set_fdt_size_mismatch,False
sub-mit054,132.0,451806.0,1.0,238553568.0,1245184.0,0.005219724904722448,fail,set_fdt_size_mismatch,False
sub-mit061,132.0,341854.0,1.0,180498912.0,180498912.0,1.0,pass,,False
sub-mit067,132.0,466679.0,1.0,246406512.0,1309032.0,0.0053124894686224855,fail,set_fdt_size_mismatch,False
sub-mit072,132.0,810310.0,1.0,427843680.0,1261184.0,0.002947768212913651,fail,set_fdt_size_mismatch,False
sub-mit074,,,,,,,fail,set_parse_error:ValueError,False
sub-mit076,132.0,485508.0,1.0,256348224.0,256348224.0,1.0,pass,,False
sub-mit079,,,,,,,fail,set_parse_error:ValueError,False
sub-mit080,,,,,,,fail,set_parse_error:ValueError,False
sub-mit082,132.0,454545.0,1.0,239999760.0,47657480.0,0.19857303190636524,fail,set_fdt_size_mismatch,False
sub-mit096,132.0,376267.0,1.0,198668976.0,48020184.0,0.24170952590000766,fail,set_fdt_size_mismatch,False
sub-mit097,132.0,461475.0,1.0,243658800.0,47952392.0,0.1968013960505428,fail,set_fdt_size_mismatch,False
sub-mit099,132.0,634218.0,1.0,334867104.0,47954648.0,0.14320501305497002,fail,set_fdt_size_mismatch,False
sub-mit104,,,,,,,fail,set_parse_error:ValueError,False
sub-mit106,,,,,,,fail,set_parse_error:ValueError,False
sub-mit107,,,,,,,fail,set_parse_error:ValueError,False
sub-mit111,132.0,364914.0,1.0,192674592.0,4700888.0,0.024398069051055783,fail,set_fdt_size_mismatch,False
sub-mit113,132.0,537103.0,1.0,283590384.0,4846472.0,0.017089690883171835,fail,set_fdt_size_mismatch,False
sub-mit114,132.0,610375.0,1.0,322278000.0,4470008.0,0.013870037669341376,fail,set_fdt_size_mismatch,False
sub-mit116,132.0,636474.0,1.0,336058272.0,4848728.0,0.014428235826910399,fail,set_fdt_size_mismatch,False
sub-mit117,132.0,622386.0,1.0,328619808.0,328619808.0,1.0,pass,,False
sub-mit121,132.0,499807.0,1.0,263898096.0,263898096.0,1.0,pass,,False
sub-mit122,132.0,496671.0,1.0,262242288.0,247987270.0,0.9456418028201462,fail,set_fdt_size_mismatch,False
sub-mit123,132.0,331280.0,1.0,174915840.0,174915840.0,1.0,pass,,False
sub-mitb2017007,132.0,391083.0,1.0,206491824.0,206491824.0,1.0,pass,,False
