channel,mean_uv,global_std_uv,global_peak_to_peak_uv,sampled_local_std_uv,sampled_local_peak_to_peak_uv,flat_fraction,nonfinite_values,median_channel_correlation,line_noise_ratio_50hz,high_frequency_ratio_35_45_to_8_30,robust_z_log_std,robust_z_log_peak_to_peak,robust_z_log_line_noise,robust_z_log_high_frequency,robust_z_median_correlation,suspect,suspect_reasons
E1,-38458.08096334343,52179.24214339457,653463.09375,181.21700926665346,781.516769527123,0.0007951472283333507,0,0.9929562523561428,16161.301655865633,0.1457683118316465,-1.0176698939407482,0.25002680752126955,-0.5530749244861856,0.21055113108637277,0.6465630378773931,False,
E2,-44325.719602327576,49229.5655508407,665721.59375,226.16129799793293,868.1190170630534,0.0009212433373041245,0,0.9828938788357692,26800.855440650947,0.1620098881746393,0.8612341664674076,0.7073447478572173,0.1399808208349678,0.39857639314812293,-1.6646772826367162,False,
E3,-47931.12920080744,47029.41263584475,665498.71875,197.54593901299256,830.5151098039642,0.0007788289083488976,0,0.9417673654381443,25299.30467612963,0.18943672867577793,-0.2859984725318535,0.5146447178129182,0.06098058491802171,0.6769465428364614,-11.111082329547026,True,low_correlation
E4,-42029.840980324094,50149.81205431279,664364.3125,196.46780764086336,708.7395767264206,0.0007165225956809857,0,0.9888728667403421,48579.19640781978,0.12513466451611077,-0.3324091576917039,-0.1753341440048913,0.95491033432802,-0.06110932905381577,-0.2913553826957506,False,
E5,-37119.18086228829,52031.699951458744,382411.62890625,197.60516921875802,712.8919543989405,0.00014389791259017726,0,0.9928619108457909,65816.76898283072,0.09937075712870445,-0.28345611499103346,-0.14991337243268643,1.3710051385046194,-0.4714311480927013,0.6248936074808685,False,
E6,-34711.50852808183,53298.81372361483,289208.74609375,173.8882814746177,585.5936712338967,0.0001483483634950281,0,0.9916636953058896,84918.5566508679,0.08128687034818295,-1.3677679557953406,-1.0058867635423974,1.720151260843613,-0.828962913037832,0.3496738431897477,False,
E7,-33992.8315113473,53728.90290193768,310728.58203125,117.57920117772713,381.4224094062006,0.00014389791259017726,0,0.9863438712614496,63231.103905933596,0.14812719919731582,-4.686234229590621,-2.8714936364807016,1.3160906824909648,0.23912347323050134,-0.8722438092065986,True,variance_outlier
E8,-36856.034360019,53206.618259364375,665406.34375,263.2548889133836,1619.9926657111273,0.0008173994828576048,0,0.9878313066828156,21021.595686378336,0.12158641911214768,2.1492191304607675,3.4220741076932115,-0.19281296751437285,-0.11230810685422181,-0.5305927352267602,False,
E9,-42518.82553656824,50237.51853685889,665406.28125,207.68585641530075,938.0434469981119,0.0011051953080379593,0,0.9866196853173786,28692.00300124942,0.15616778040282928,0.1385019782384529,1.0444510953727137,0.2334059425904945,0.3332075280129732,-0.808891701899413,False,
E10,-42677.73166976276,49859.28681085067,664361.40625,191.10333174215307,727.6684086276427,0.000744708784745041,0,0.9853413957190225,40805.464261817135,0.14209722220677423,-0.5671886676229212,-0.06063799452441672,0.7159794579616797,0.16515162514046003,-1.1025037860694802,False,
