trial,strategy,excluded_components,max_abs_ecg_channel_correlation,median_abs_ecg_channel_correlation,median_std_uv,median_peak_to_peak_uv,relative_rms_change,delta_retained,theta_retained,alpha_retained,beta_retained,gamma_retained
1,no_ica_removal,,0.2759555351880615,0.0614662888063805,7.935634513777325,90.65553618439591,0.0,1.0,1.0,1.0,1.0,1.0
1,remove_ecg_ic11,11,0.15642556215920286,0.027923762588703337,7.885142938446096,90.70852408540716,0.15408820418212302,1.0001561847926352,0.941503556684037,0.983077430995236,0.9032524673212917,0.9757197055548222
1,remove_all_candidates,11;13;21;23;57,0.15625233823299345,0.028289982541717988,7.850644889000515,87.57373253324887,0.20198038037454222,1.0072592277847345,0.9366930733411543,0.9817475394340095,0.8708809610731556,0.7824159977387263
2,no_ica_removal,,0.16597886679373455,0.021067727050270692,16.165469643420124,200.41466056880043,0.0,1.0,1.0,1.0,1.0,1.0
2,remove_ecg_ic11,11,0.0676310706588317,0.02660710983033858,16.19693711321095,198.18586372291793,0.09529332854147463,0.9956588693438773,0.9721316013720855,0.923017514087869,0.9334217391326936,0.9237210854615976
2,remove_all_candidates,11;13;21;23;57,0.066522557159604,0.024580021268684672,16.148715727559797,196.46276960267994,0.16325227343039056,0.9664490577038671,0.9697473280986408,0.9194937470407678,0.9005593976811082,0.8589376957529521
3,no_ica_removal,,0.2605445401191858,0.03786546382766387,12.232035706462273,175.89315710849803,0.0,1.0,1.0,1.0,1.0,1.0
3,remove_ecg_ic11,11,0.14322801285654352,0.01460393907738884,12.128737360067774,176.649746660037,0.1070909609084612,0.9850530787488319,0.933265312481064,0.936972597052209,0.9334747105867284,1.0264149688829536
3,remove_all_candidates,11;13;21;23;57,0.15195444195663985,0.016923721009754537,11.490447320033283,154.72563580744307,0.31136470879726663,0.9556678598182068,0.897008417246328,0.9007862450570093,0.7518052880775059,0.5992021094058461
4,no_ica_removal,,0.31390922533708593,0.02953499273440629,15.111704242691378,286.3045682995553,0.0,1.0,1.0,1.0,1.0,1.0
4,remove_ecg_ic11,11,0.1979205906196344,0.012855989660336369,14.819603441595673,288.31040883872816,0.12725404925219247,0.9512061352385166,0.8932679987883176,0.9466104906507622,0.8729421497761398,0.9452215149584843
4,remove_all_candidates,11;13;21;23;57,0.1887809776165161,0.01277782985138778,14.730639415692927,285.61954597510044,0.23695924676866853,0.9386259129750945,0.8960156412038127,0.9138829749500358,0.815287335550159,0.7061334932517088
5,no_ica_removal,,0.46960121402710303,0.033769450633879455,11.588073430986675,180.9878306644736,0.0,1.0,1.0,1.0,1.0,1.0
5,remove_ecg_ic11,11,0.29550095237272633,0.01502623723524655,11.429635267492051,178.90211790587392,0.1171104129212043,0.9856862930896854,0.9077308462094117,0.9338408746589325,0.9456350797076822,0.9713178017767413
5,remove_all_candidates,11;13;21;23;57,0.2912527199522627,0.016756183688721955,11.199135365762439,178.22156814229214,0.15391462827435337,0.9643579321406557,0.8954541092385888,0.8768948570181047,0.9233659250746096,0.9263242743357694
6,no_ica_removal,,0.20953299441949483,0.028920520930285548,11.179829426099717,128.15311334303811,0.0,1.0,1.0,1.0,1.0,1.0
6,remove_ecg_ic11,11,0.09954330100953077,0.02542465140402147,11.076995856323215,126.6283419933014,0.12083999224278538,1.0048877107899383,0.9424965216537349,0.9299030705796733,0.9146048981350097,0.9409057306883843
6,remove_all_candidates,11;13;21;23;57,0.09954330100953077,0.024472728581862613,11.00913157602154,125.21663189368758,0.17969667084064614,1.0090869384945103,0.9273707970004796,0.8714321800615864,0.8623188381876752,0.7532855778254764
7,no_ica_removal,,0.24818839556752983,0.06184073085654858,8.712914431539899,94.87058281166263,0.0,1.0,1.0,1.0,1.0,1.0
7,remove_ecg_ic11,11,0.1429920145826891,0.029737433595133415,8.59311131809321,94.86050349885593,0.17857981962728803,0.9813614524465999,0.9227600899241255,0.9072845395947536,0.951536304682557,0.9637749520217294
7,remove_all_candidates,11;13;21;23;57,0.13942525650035334,0.03307365099561553,8.43503948828426,91.51859053899886,0.25423485365935805,0.9636202464344059,0.9116772751429688,0.9087697535671161,0.8853525097702168,0.7976878487155883
8,no_ica_removal,,0.22050937503291657,0.03690893797688508,10.31110943478128,104.11100918629462,0.0,1.0,1.0,1.0,1.0,1.0
8,remove_ecg_ic11,11,0.10793131912554899,0.024786304933316836,10.016120788086374,101.64145539567296,0.10306009447839272,0.9814825135453961,0.9042229245179382,0.9306670647079022,0.8718907706940014,0.9278380247167521
8,remove_all_candidates,11;13;21;23;57,0.10489018659745374,0.02405218537373931,10.009255493455662,101.6914926861513,0.13118968086226923,0.9766052536923489,0.8984258807268503,0.9215001717006355,0.866033080983439,0.9080246978426353
9,no_ica_removal,,0.2818445141907226,0.035466435439551455,10.17394018042931,139.73374007121942,0.0,1.0,1.0,1.0,1.0,1.0
9,remove_ecg_ic11,11,0.13374276267839508,0.017894117615490826,10.032289046777848,141.72735346463108,0.09207371666620273,0.9890337608080213,0.9233786883608522,0.9366583867092013,0.922641875585272,0.9950734930244457
9,remove_all_candidates,11;13;21;23;57,0.12878210205035698,0.015311737718883256,9.831282825328827,130.38688334835456,0.15789594861949358,0.9754842009192279,0.9080913047421576,0.9065310695891606,0.8134532223877576,0.772629083548937
10,no_ica_removal,,0.16988632751305574,0.032444321172705105,13.853799389735926,214.85024918848933,0.0,1.0,1.0,1.0,1.0,1.0
10,remove_ecg_ic11,11,0.09073931542774866,0.014385938531748292,13.65568741170935,213.65131394613462,0.08857568529210703,0.9661132562823529,0.9190132573484395,0.9193080605784802,0.9480242941804294,0.9901112677345879
10,remove_all_candidates,11;13;21;23;57,0.08735762155259248,0.014212241720362607,13.357035212194699,197.6582613115239,0.15174131758866857,0.9521440228201044,0.8752708800049567,0.8708709327487716,0.8009149480678002,0.6983024183263055
11,no_ica_removal,,0.1761150645209528,0.02921225906047926,13.644549366928029,183.7223160080795,0.0,1.0,1.0,1.0,1.0,1.0
11,remove_ecg_ic11,11,0.10476132559781982,0.01762464345721742,13.64336350891767,183.74288078984216,0.06616116998890283,0.9697757486849155,0.95936405925269,0.9541525341970762,0.9273041273055318,1.0379094005525304
