trial,pass,review,reject,total,pass_fraction,review_fraction,reject_fraction
1,11,15,3,29,0.3793103448275862,0.5172413793103449,0.10344827586206896
2,15,11,3,29,0.5172413793103449,0.3793103448275862,0.10344827586206896
3,19,10,0,29,0.6551724137931034,0.3448275862068966,0.0
4,29,0,0,29,1.0,0.0,0.0
5,24,4,1,29,0.8275862068965517,0.13793103448275862,0.034482758620689655
6,14,13,2,29,0.4827586206896552,0.4482758620689655,0.06896551724137931
7,10,16,3,29,0.3448275862068966,0.5517241379310345,0.10344827586206896
8,27,2,0,29,0.9310344827586207,0.06896551724137931,0.0
9,11,18,0,29,0.3793103448275862,0.6206896551724138,0.0
10,21,8,0,29,0.7241379310344828,0.27586206896551724,0.0
