channel,decision,flagged_trials,trial_fraction,independent_metrics,variance_trials,peak_to_peak_trials,global_correlation_trials,neighbor_correlation_trials,median_std_uv,median_peak_to_peak_uv,median_global_correlation,median_neighbor_correlation
E1,review,3,0.2727272727272727,2,0,3,0,1,49.534972067243665,656.7555274152617,0.07677311365595309,0.4416796042673563
E2,pass,0,0.0,0,0,0,0,0,33.89828428957046,299.7365526169855,0.00020364017336428926,0.9365991855514175
E3,pass,0,0.0,0,0,0,0,0,26.900875509384043,241.01507443491616,0.03126114862294515,0.9771416816393497
E4,pass,0,0.0,0,0,0,0,0,22.632238358108864,208.51047597024544,0.055293204228324816,0.9759415923476102
E5,pass,0,0.0,0,0,0,0,0,16.454986656036134,153.3456977756907,0.07683070568329914,0.9422744926547775
E6,pass,0,0.0,0,0,0,0,0,10.556653717565995,117.76644627326442,0.18184888520781262,0.9286653479306761
E7,pass,0,0.0,0,0,0,0,0,8.044901036256947,114.85112872208151,0.3384557705476131,0.755798999882703
E8,review,3,0.2727272727272727,1,0,3,0,0,84.47959141585379,692.8964720887363,-0.04424918625130157,0.9686867727758383
E9,pass,0,0.0,0,0,0,0,0,45.56201783695384,383.58131287753883,-0.010473444467895618,0.9872911916082898
E10,pass,0,0.0,0,0,0,0,0,29.282503120469872,252.47216733144467,0.023676323263323192,0.9877330857603688
E11,pass,0,0.0,0,0,0,0,0,28.006915769086717,240.81760415573333,0.003613945414746902,0.9784989280809052
E12,pass,0,0.0,0,0,0,0,0,16.539359022610736,162.2604846965907,0.04660063504053234,0.9490623108419651
E13,pass,0,0.0,0,0,0,0,0,9.183085911934054,115.00794706781949,0.1790523561153379,0.904287938432765
E14,pass,2,0.18181818181818182,1,0,2,0,0,55.935479779153106,453.72448101160967,-0.05809103468099637,0.9907063411252511
E15,pass,0,0.0,0,0,0,0,0,39.539690669692185,316.8940701831719,-0.012480584227584772,0.9896205055879924
E16,pass,0,0.0,0,0,0,0,0,32.45854641549941,268.33371174557703,-0.002377685140895249,0.9889249292587121
E17,pass,2,0.18181818181818182,1,0,2,0,0,59.50111766943327,455.1496752028372,-0.025404269968970366,0.9901031288080483
E18,pass,0,0.0,0,0,0,0,0,28.98365357412517,255.10066475464777,-0.011082774273746281,0.9857918637562741
E19,pass,0,0.0,0,0,0,0,0,22.317788698471478,203.5007654831763,0.0015570008002928955,0.9762807660978075
E20,pass,0,0.0,0,0,0,0,0,10.981401925688603,128.5203469180936,0.14117112239200946,0.9318610725445713
E21,review,3,0.2727272727272727,1,0,3,0,0,67.2361800829896,524.1722442438693,-0.059300418901776474,0.9867946692239794
E22,pass,0,0.0,0,0,0,0,0,43.439462316557254,365.7763167894697,-0.02638548849600223,0.9806670171909961
E23,pass,0,0.0,0,0,0,0,0,24.67156373056009,223.85054035990424,-0.0021417658521478695,0.9563947720625674
E24,pass,0,0.0,0,0,0,0,0,11.372808134622192,133.57120596470384,0.1294556702754892,0.9240195511136093
E25,review,3,0.2727272727272727,1,0,3,0,0,85.11794232560477,711.4233889178488,-0.08204201588438348,0.9614092279555453
E26,pass,0,0.0,0,0,0,0,0,27.791337046725346,261.9971793274607,-0.01561338317253254,0.9002384588659071
E27,pass,0,0.0,0,0,0,0,0,12.817504281355111,145.84511096752908,0.13641837908305698,0.8770642473370245
E28,pass,0,0.0,0,0,0,0,0,7.76176903195846,98.13005297706879,0.2777058044787154,0.8918377861914109
E29,pass,0,0.0,0,0,0,0,0,7.471535482607014,101.45986189609145,0.2878459738770975,0.8882134214595024
E30,pass,0,0.0,0,0,0,0,0,7.732915046711788,107.22521533868746,0.2790616316598339,0.8344388030670118
E31,review,4,0.36363636363636365,2,0,0,1,4,2.243087670883269,34.55442581057126,-0.01339648088659427,0.10811561392826309
E32,review,2,0.18181818181818182,2,0,1,0,1,26.219290254090765,302.88065804626916,0.14456393102823237,0.5434696733194158
E33,pass,0,0.0,0,0,0,0,0,15.965635794850598,183.74355198070796,0.16061584825619554,0.5848742760057776
E34,pass,0,0.0,0,0,0,0,0,10.172897049809048,123.6090614001875,0.2707051315146117,0.7610773376187655
E35,pass,0,0.0,0,0,0,0,0,7.024385770264466,113.50973187150363,0.34160839802889315,0.8370317743953556
E36,pass,0,0.0,0,0,0,0,0,6.414651527249943,112.49452388889495,0.31767072466700347,0.7843588744193437
E37,review,3,0.2727272727272727,2,0,0,1,3,2.9654061042114837,53.42728038095203,0.15203594957785385,0.5342604275353633
E38,pass,1,0.09090909090909091,1,0,0,0,1,29.525604128438236,331.21002927577956,0.20303187115670793,0.36326812197994235
E39,review,2,0.18181818181818182,2,0,1,0,1,26.61151998613032,378.8993638067855,0.12911930808602184,0.2921049101460706
E40,pass,0,0.0,0,0,0,0,0,8.913920852192032,131.19606295974137,0.2929018137979376,0.7189751350905612
E41,pass,0,0.0,0,0,0,0,0,6.8460524462871,129.81831425243846,0.3289758550674947,0.760071798000047
E42,pass,1,0.09090909090909091,1,0,1,0,0,5.057114364700923,94.60893978049532,0.3216383547581583,0.7667875584142867
E43,pass,0,0.0,0,0,0,0,0,16.777223474683527,185.5747146823228,0.2778311676543452,0.6996560060352064
E44,pass,0,0.0,0,0,0,0,0,14.383963273530483,231.48578049794042,0.2678172855639224,0.5693616896309732
E45,pass,0,0.0,0,0,0,0,0,12.226313546488417,197.6487330109776,0.3090853817146645,0.6799766219374375
E46,pass,0,0.0,0,0,0,0,0,7.461719848546515,121.0155138629098,0.3777925822362936,0.7816079181744662
E47,pass,0,0.0,0,0,0,0,0,7.163632153515042,115.18576790517352,0.3345622966138999,0.8027226964674967
E48,pass,0,0.0,0,0,0,0,0,21.738500147643713,240.83321770530733,0.25242528664453984,0.7002420463160923
E49,pass,2,0.18181818181818182,1,0,0,0,2,19.283399837349034,184.93621804067544,0.25777185721273166,0.6882832541545653
E50,pass,0,0.0,0,0,0,0,0,10.791401885688286,127.17773940963659,0.3470269083678655,0.7740354425084044
E51,pass,0,0.0,0,0,0,0,0,7.1082871517326245,116.43133423454265,0.3248964756664175,0.8096852347121029
E52,pass,0,0.0,0,0,0,0,0,6.603761355978215,106.21286974817963,0.32192465150051464,0.7579573189512
E53,pass,0,0.0,0,0,0,0,0,4.155390566030553,80.48350884467155,0.3135626845157917,0.619144323381738
E54,pass,1,0.09090909090909091,1,0,0,0,1,4.883274698081909,83.51700844326766,0.2977303317642968,0.34401005871371493
E55,bad,7,0.6363636363636364,3,0,1,2,7,15.01853845649559,190.89994004600612,-0.02090825185520553,-0.06253915867267071
E56,pass,0,0.0,0,0,0,0,0,17.94266491315575,221.1031851204086,0.28648109987928594,0.5860181732330234
E57,pass,0,0.0,0,0,0,0,0,18.461783180354914,212.71421009801333,0.30454378135485366,0.6264464011016166
E58,pass,0,0.0,0,0,0,0,0,12.647534740580046,159.92457106792756,0.37300468964916855,0.7721313357465751
E59,pass,0,0.0,0,0,0,0,0,9.035160346921153,144.15899530643748,0.34205735384298575,0.7562483592551864
E60,pass,2,0.18181818181818182,1,0,0,0,2,6.973112395170156,87.07410060659296,0.2052124774644567,0.4829816318220941
E61,pass,2,0.18181818181818182,1,0,0,2,0,8.62046879802216,110.34856921246619,0.19556000635739335,0.6900897591225377
E62,review,3,0.2727272727272727,3,2,3,2,0,54.14867548084044,874.656969324262,-0.08768943880755256,0.7615474864702207
E63,review,4,0.36363636363636365,2,0,1,0,4,19.327660266609872,263.3655790163862,0.08988231028717884,0.24845225334654863
E64,pass,0,0.0,0,0,0,0,0,12.874314906075393,164.20480399654244,0.28891635308720504,0.7070288862050622
E65,pass,0,0.0,0,0,0,0,0,12.46872335467451,149.79995390212787,0.340227196610012,0.7662684583506033
E66,review,2,0.18181818181818182,2,0,0,2,1,14.304971994821964,197.17227784526676,0.17324363341728127,0.37624497225939113
E67,review,3,0.2727272727272727,2,0,2,2,0,20.138491015891148,304.57256874820484,-0.05115872559074627,0.8579446405810561
E68,pass,0,0.0,0,0,0,0,0,31.293868777569607,370.7301275562302,0.23712837849514692,0.716498247508678
E69,pass,0,0.0,0,0,0,0,0,15.181134236116712,196.0345800343988,0.3067909858129366,0.7639223367735961
E70,pass,2,0.18181818181818182,1,0,0,0,2,11.365430708658693,176.99645109470788,0.2450679994585925,0.552625855267733
E71,review,2,0.18181818181818182,2,0,1,2,0,11.187190250153389,125.09780268991508,0.10854202182731044,0.6885788714815826
E72,review,3,0.2727272727272727,2,0,3,2,0,35.387189786293725,552.5046120486755,-0.026884202348381285,0.6859366670129099
E73,review,1,0.09090909090909091,2,0,1,0,1,18.933214516068205,232.8605263551086,0.2755034306211679,0.8588901616538384
E74,pass,0,0.0,0,0,0,0,0,22.381005938312047,294.7353923335206,0.293063568041248,0.7157072024728319
E75,pass,1,0.09090909090909091,1,0,0,0,1,11.577708686775855,146.6658363474037,0.3435826059545141,0.6008487601421633
E76,review,2,0.18181818181818182,3,0,1,2,2,13.833616660954236,196.31156593888483,0.23664856110549745,0.514740759369859
E77,review,2,0.18181818181818182,2,0,2,2,0,15.111102785523531,230.4993319086813,0.16176170704384957,0.5168973897929273
E78,review,3,0.2727272727272727,3,0,2,2,1,18.91094466100287,284.4155659256303,0.1431014244131059,0.41004395801745086
E79,review,2,0.18181818181818182,2,0,0,2,2,9.643935015674591,119.77340676203391,0.152472574177593,0.3542087093398478
E80,pass,0,0.0,0,0,0,0,0,6.416733765059732,92.07148967122664,0.2774822895158453,0.5279698300603566
E81,pass,0,0.0,0,0,0,0,0,17.388251941965024,188.86440733286577,0.3077649850375864,0.8504419234753018
E82,pass,0,0.0,0,0,0,0,0,15.379202166272636,191.207375579537,0.22097032674216102,0.683348763974158
E83,pass,0,0.0,0,0,0,0,0,10.933073264487334,130.07454028625062,0.35461029295491686,0.8588046646239804
E84,pass,0,0.0,0,0,0,0,0,9.666700480908021,138.07362872667488,0.3157673348202653,0.8176662233366802
E85,pass,0,0.0,0,0,0,0,0,8.79083704238156,108.02684295893539,0.3223326436122883,0.7382830305032065
E86,pass,0,0.0,0,0,0,0,0,7.389969957008639,106.16376180703092,0.36663557295495697,0.6830241779327793
E87,pass,0,0.0,0,0,0,0,0,7.611511432888137,113.34894796023185,0.29168954915461626,0.6723474147692261
E88,pass,1,0.09090909090909091,1,0,1,0,0,25.83171952493703,324.30178157609237,0.27792777669715535,0.8003625186739197
E89,pass,0,0.0,0,0,0,0,0,14.742201028726972,180.41125244790726,0.32126969677540507,0.8415787738884541
E90,pass,0,0.0,0,0,0,0,0,11.031152507966473,146.15668340344013,0.35846407864050833,0.8312167058688642
E91,pass,0,0.0,0,0,0,0,0,10.78206422480592,147.52191558275234,0.2984182304752256,0.7231314249093301
E92,pass,0,0.0,0,0,0,0,0,8.734625654614344,137.0691114032087,0.32938950711614645,0.75586192717037
E93,pass,0,0.0,0,0,0,0,0,7.689306979546859,118.10544793112223,0.3287864291443948,0.725012389499043
E94,review,2,0.18181818181818182,2,0,1,0,1,21.530833101321605,291.90784157566674,0.2731202707471674,0.7774660151592443
E95,pass,0,0.0,0,0,0,0,0,13.851610089293672,153.17590669964358,0.3676317764336719,0.7819647395821938
E96,pass,0,0.0,0,0,0,0,0,11.233990778268685,154.0057878396187,0.3213037958225328,0.7669432776057654
E97,pass,0,0.0,0,0,0,0,0,9.0432951740856,119.77808428917834,0.36437790467547415,0.7599057810824696
E98,pass,0,0.0,0,0,0,0,0,7.64497223259552,85.59675919789817,0.35570031127941143,0.730922010055763
E99,pass,0,0.0,0,0,0,0,0,22.766575188640033,277.62275265857295,0.17378295195238774,0.4277469495150208
E100,pass,0,0.0,0,0,0,0,0,34.58790618123874,264.6958444164496,0.20214344810397136,0.3373750382684988
E101,pass,0,0.0,0,0,0,0,0,11.71330163047018,162.89548883928862,0.39541566728403416,0.7587117673843867
E102,pass,0,0.0,0,0,0,0,0,10.871366019207235,142.06334130042382,0.3434381617285897,0.6822271592363538
E103,pass,0,0.0,0,0,0,0,0,8.658787328305399,119.34899410201888,0.3545633639889535,0.7509829309919578
E104,pass,0,0.0,0,0,0,0,0,8.238285810016475,119.05261225155925,0.3609213023990693,0.7687561349467498
E105,pass,0,0.0,0,0,0,0,0,7.325972026586187,107.33105039091308,0.38562900802434846,0.7841246500318533
E106,pass,0,0.0,0,0,0,0,0,8.156670152388083,112.40865876217221,0.34365023486879354,0.7204750391508066
E107,pass,1,0.09090909090909091,1,0,0,0,1,30.16492841062317,323.6260404756722,0.09039074572382422,0.3309562145616567
E108,pass,0,0.0,0,0,0,0,0,17.425224304803272,250.22318427140732,0.25734759590546,0.5680316132995515
E109,pass,0,0.0,0,0,0,0,0,12.04991155283811,171.47649899872783,0.2347397701600765,0.643351327225363
E110,pass,0,0.0,0,0,0,0,0,10.036024628076255,118.08358768903447,0.30551121458811376,0.7757704817178441
E111,pass,0,0.0,0,0,0,0,0,8.83600265257342,116.1439174188281,0.37428558801116907,0.8793811532724868
E112,pass,0,0.0,0,0,0,0,0,9.849301565539086,115.70206238669357,0.28547749687640017,0.8966354364674289
E113,pass,0,0.0,0,0,0,0,0,16.65776954731264,205.6567433444718,0.35590401938958377,0.5746428264654796
E114,pass,0,0.0,0,0,0,0,0,17.41296451648299,183.04725459483905,0.3015109761153896,0.5605352661578935
E115,pass,0,0.0,0,0,0,0,0,11.406989540243224,157.4297178953919,0.30262365714388323,0.6505569306740626
E116,pass,0,0.0,0,0,0,0,0,10.421570786909433,140.64953841509111,0.3038087471323503,0.7337050197725439
E117,pass,0,0.0,0,0,0,0,0,12.330686378823838,123.89027492064582,0.29282050071205923,0.8893410260557659
E118,pass,0,0.0,0,0,0,0,0,11.705411321490457,124.63064236084276,0.18304996385728325,0.9342642009124669
E119,pass,0,0.0,0,0,0,0,0,21.87591187622014,285.1211185900671,0.24693990633603655,0.6225866265806648
E120,pass,2,0.18181818181818182,1,0,2,0,0,19.518314168274124,253.1051219571209,0.22428725855538095,0.47335150770132706
E121,review,4,0.36363636363636365,2,0,1,0,3,29.894200422339914,390.0923291400152,0.08038125011865795,0.2826066643719778
E122,review,1,0.09090909090909091,2,0,1,0,1,14.804187315661625,187.90732820491894,0.23255820726005258,0.671471690373215
E123,pass,0,0.0,0,0,0,0,0,17.457564459508827,183.55737093426976,0.1606047463472938,0.8636893737930407
E124,pass,0,0.0,0,0,0,0,0,12.140836007653894,129.7253560053,0.16181288312076728,0.9122871113068804
E125,bad,7,0.6363636363636364,2,0,4,0,6,80.40334146077393,799.8653295181102,0.07822098179324302,0.09509728849651067
E126,bad,7,0.6363636363636364,3,2,4,0,4,32.95140906476449,565.1767512149978,0.13637517743422364,0.27330794192835295
E127,review,2,0.18181818181818182,2,0,2,0,1,31.23585365196293,428.77634098536254,0.2174712726585266,0.45894540637789294
E128,pass,0,0.0,0,0,0,0,0,20.905319342578913,212.38883331521998,0.1867064354994406,0.47339865592336955
