component,ecg_correlation,emg_correlation,emg2_correlation,low_frequency_fraction,high_frequency_fraction,kurtosis,proposed_artifact,reasons
0,-0.0027555847082213957,-0.00024343089768731637,-0.0006911486573126498,0.8631755706805938,0.009329838924948054,27.153404722891725,False,
1,-0.00020299581668391082,-0.0002568752203606661,-0.0005016885073381466,0.6478241514184622,0.010166856646960615,371.4510555349924,False,
2,0.015009797607522508,0.011584183378376486,0.01598034570746836,0.08689938590073273,0.7104318682667295,83.03631859517304,True,high_frequency_power_with_kurtosis
3,-0.0009816887900483604,-0.0019630404532414813,-0.0027414550985764663,0.7641701393653367,0.015865660696563682,104.81826165970622,False,
4,-0.09417260673639953,-0.058105114282194094,-0.09145052611562822,0.34258474447652,0.3513058035295604,22.79042257156276,False,
5,0.006451442404649172,0.0008896663642377403,0.0020738849817085758,0.7868511352311239,0.01718104191268298,12.291405328432674,False,
6,0.0058981259989768576,-0.001668874958913303,0.00038166551290845426,0.8764290336364875,0.022524403437357645,47.4355852805072,False,
7,0.13046481473478505,-0.029515282177951175,0.01818128020242201,0.3787548121177012,0.25146846042838755,15.68603112239439,False,
8,0.0006833489446485066,0.0018394664383102233,0.0014353734286198514,0.7527004230984514,0.07201808211040221,130.95574115447815,False,
9,-0.0005345117801293003,0.0033730364778811095,0.0007461772568854814,0.05489654377545636,0.7528285847074332,42.9558951466111,True,high_frequency_power_with_kurtosis
10,0.12376880765042265,0.003809631720810664,0.014642890257879083,0.30741484543430697,0.09481779994005245,7.325572722117924,False,
11,-0.007444616556482123,-0.00039574777782880874,-0.001990776830094225,0.8939512557635163,0.012412687630715048,50.15254284614299,False,
12,-0.0004739601555231831,0.0004035854054771447,-0.00047949276409277824,0.8528289095661736,0.032531925537546545,38.59982793550209,False,
13,-0.002772524554763582,-0.00088524072939039,-0.002830882438347234,0.6485763570888731,0.17083832120731987,460.7669853448064,False,
14,3.0159851400509556e-05,-0.0006753482879733005,-0.0006367466249621349,0.8764484331968683,0.04075460613440933,32.042381665955745,False,
15,0.007030974009211333,0.0009889288831696885,0.005188497040707423,0.4161880474375924,0.0953136674554719,0.3345131295500967,False,
16,0.0008770725874516252,-0.000991672938724726,-0.0017091904891489824,0.18064394188228172,0.5429773110429746,37.747865643591055,True,high_frequency_power_with_kurtosis
17,0.07566655932567673,0.03998421440873994,0.06549812232834057,0.43640193368522767,0.15227544664814335,1.9108422088630599,False,
18,-0.009367162965725689,0.0062050784838968255,0.002054155533202356,0.07108705048397589,0.7691499392315324,59.13594564328234,True,high_frequency_power_with_kurtosis
19,0.007946618916236792,-0.0008866966970178099,0.0013133116684468044,0.5143507400389191,0.14562007917240338,21.97297091689551,False,
20,0.023482575752505695,0.008896918644813508,0.015506092288644009,0.5072104032201193,0.12401785485539538,5.037996991676998,False,
21,-0.0009013951561447374,-0.0020129311407118306,-0.003227788819954216,0.8053290846919048,0.052387948484354845,41.97743980275241,False,
22,-0.004587433034970914,-0.00022233904963140565,0.00011510709664553887,0.7050413436317595,0.13679726677235995,11.60168417390961,False,
23,-0.010217229801060192,-0.0020692491969867793,-0.0034415473633567016,0.34689178105605534,0.13161292104708486,0.5321674001754086,False,
24,0.025754624892212436,0.017746185352597886,0.025294952372599915,0.4939343882043743,0.16177383019524746,11.871997161142211,False,
25,-0.004452092598501662,0.00025037551021455577,-0.0013566671116196788,0.6210018118997321,0.15200587038860092,144.32200224802833,False,
26,0.0005660468705795353,-0.0012824703120183601,0.0010921377727893709,0.2138021620074478,0.5219782377281883,41.87018733582101,True,high_frequency_power_with_kurtosis
27,0.0028571965535832706,-0.002016867924660122,-0.0011379225198239285,0.8373108960639412,0.07469761248830424,88.2413562483454,False,
28,-0.004047830937054994,-0.0030675186378092936,-0.003909408807344935,0.855607982947488,0.03752101999017623,30.225501173769608,False,
29,-0.001989468190780444,0.0026306135524071243,0.002908413380427009,0.20922350646835638,0.4752495989054911,6.1304360225178645,False,
30,0.015458214344087652,-0.0010712982266386812,0.0030339164389390333,0.5422580554422799,0.15581923958520186,21.812161418955764,False,
31,0.004801672068014725,-0.0034145593376487433,-0.001376143267894384,0.7216395874865484,0.12273127162122287,95.92030110858568,False,
32,0.0033497324463704816,-0.0013439506236020712,0.00015793966736228374,0.90135207362537,0.027337680737789954,47.494123859504626,False,
33,0.0018980771862194788,-0.0009400206578773423,0.0001382184120113888,0.06053505665430253,0.6007326980499493,121.4730337702349,True,high_frequency_power_with_kurtosis
34,-0.006790841216850784,-0.0004272131849161946,-0.0037880658874082872,0.6834826773776669,0.08137924533850967,90.46553725754947,False,
35,-0.007709930024059742,-0.0025021587672198514,-0.006311305876960841,0.5864900198470676,0.16318115287244778,27.27414084537204,False,
36,-0.004667823510401653,0.0027884334734503504,0.0001782111094364025,0.07594271321721648,0.5879637774699782,147.08957424876075,True,high_frequency_power_with_kurtosis
37,0.0006515295800496598,0.0018490521631278087,0.0011703323182955757,0.6707585209913413,0.12900961027503385,26.35568505299934,False,
38,-0.005951412786759269,-0.0006426220700110434,-0.0004143196899177653,0.702198227606624,0.07801371748005027,20.00741561610957,False,
39,0.014581702864474655,0.0190280847063068,0.02375271046992394,0.6782187772720308,0.09871498852093966,17.3738051356226,False,
40,-0.0011861928473766877,0.0023714275019369973,0.0011382184003220768,0.7932327881992379,0.05557888769847194,18.252055124487114,False,
41,0.005369193663622423,-0.01756989196700742,-0.014486406566668521,0.33277200862339273,0.253343770753431,35.39502691628536,False,
42,0.00787647264851059,0.0020464958481078853,0.005315598791467773,0.7888390943471862,0.05951848795673118,156.73660085639287,False,
