subject,trial,window_index,start_seconds,end_seconds,samples,status,issues,max_abs_uv,max_peak_to_peak_uv,over_200uv_fraction,flat_channels,variance_outlier_channels,source_path,exclude_primary,exclusion_reason,stimulus,valence,arousal,valence_label_fixed5,arousal_label_fixed5,quadrant_label_fixed5,valence_binary_eligible_fixed5,arousal_binary_eligible_fixed5,quadrant_label_eligible_fixed5,label_source,subject_relative_label_status,include_primary,include_pass_review_ablation,retain_for_analysis,include_excluded_trial_ablation,include_primary_valence_binary,include_primary_arousal_binary,include_primary_quadrant,primary_exclusion_reason,split_group
sub-mit121,1,1,0.0,4.0,1000,pass,,76.7962186781785,135.8956371691035,0.0,0,5,data/processed/sub-mit121/trials/sub-mit121_trial-01_eeg.fif,False,,neutral_1.mp4,7.01,7.04,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold,True,True,True,False,True,True,True,,sub-mit121_trial-01
sub-mit121,1,2,2.0,6.0,1000,pass,,64.90122969453859,102.90701649433517,0.0,0,4,data/processed/sub-mit121/trials/sub-mit121_trial-01_eeg.fif,False,,neutral_1.mp4,7.01,7.04,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold,True,True,True,False,True,True,True,,sub-mit121_trial-01
sub-mit121,1,3,4.0,8.0,1000,pass,,61.54735168176608,118.27188080490782,0.0,0,5,data/processed/sub-mit121/trials/sub-mit121_trial-01_eeg.fif,False,,neutral_1.mp4,7.01,7.04,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold,True,True,True,False,True,True,True,,sub-mit121_trial-01
sub-mit121,1,4,6.0,10.0,1000,pass,,408.15811054176544,483.37977478056,0.00078125,0,5,data/processed/sub-mit121/trials/sub-mit121_trial-01_eeg.fif,False,,neutral_1.mp4,7.01,7.04,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold,True,True,True,False,True,True,True,,sub-mit121_trial-01
sub-mit121,1,5,8.0,12.0,1000,pass,,408.15811054176544,483.37977478056,0.00078125,0,2,data/processed/sub-mit121/trials/sub-mit121_trial-01_eeg.fif,False,,neutral_1.mp4,7.01,7.04,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold,True,True,True,False,True,True,True,,sub-mit121_trial-01
sub-mit121,1,6,10.0,14.0,1000,pass,,60.35691436787711,90.05965019376382,0.0,0,4,data/processed/sub-mit121/trials/sub-mit121_trial-01_eeg.fif,False,,neutral_1.mp4,7.01,7.04,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold,True,True,True,False,True,True,True,,sub-mit121_trial-01
sub-mit121,1,7,12.0,16.0,1000,pass,,69.09985334116465,113.83347291816452,0.0,0,3,data/processed/sub-mit121/trials/sub-mit121_trial-01_eeg.fif,False,,neutral_1.mp4,7.01,7.04,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold,True,True,True,False,True,True,True,,sub-mit121_trial-01
sub-mit121,1,8,14.0,18.0,1000,pass,,77.02939586264837,113.83347291816452,0.0,0,4,data/processed/sub-mit121/trials/sub-mit121_trial-01_eeg.fif,False,,neutral_1.mp4,7.01,7.04,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold,True,True,True,False,True,True,True,,sub-mit121_trial-01
sub-mit121,1,9,16.0,20.0,1000,pass,,77.02939586264837,112.72468919904009,0.0,0,1,data/processed/sub-mit121/trials/sub-mit121_trial-01_eeg.fif,False,,neutral_1.mp4,7.01,7.04,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold,True,True,True,False,True,True,True,,sub-mit121_trial-01
sub-mit121,1,10,18.0,22.0,1000,review,variance_outliers,396.27212424364967,449.69609337756594,0.000625,0,7,data/processed/sub-mit121/trials/sub-mit121_trial-01_eeg.fif,False,,neutral_1.mp4,7.01,7.04,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold,False,True,True,False,False,False,False,window_qc_review,sub-mit121_trial-01
