channel,decision,flagged_trials,trial_fraction,independent_metrics,variance_trials,peak_to_peak_trials,global_correlation_trials,neighbor_correlation_trials,median_std_uv,median_peak_to_peak_uv,median_global_correlation,median_neighbor_correlation
E1,review,3,0.2727272727272727,1,0,0,0,3,17.430744740607263,168.50755775845892,0.14067862105294487,0.4967734080530705
E2,pass,0,0.0,0,0,0,0,0,24.5095943970118,194.92656966647053,-0.10332957912458138,0.7989420133624108
E3,pass,0,0.0,0,0,0,0,0,25.691971881584927,205.76330673390973,-0.1706847295731578,0.9628649908935698
E4,pass,0,0.0,0,0,0,0,0,18.677345355614076,143.2454256312633,-0.1538685012904289,0.9729307936183877
E5,pass,0,0.0,0,0,0,0,0,14.729021895909415,101.69695209643885,-0.14972383354925628,0.9688354171038802
E6,pass,0,0.0,0,0,0,0,0,9.558886583820808,73.55600737161755,-0.14964743599186867,0.9094706287011471
E7,pass,0,0.0,0,0,0,0,0,6.257080122734326,50.94765498455352,-0.1482097642983632,0.7850500297773175
E8,pass,1,0.09090909090909091,1,0,1,0,0,74.95488866617336,599.5616491292087,-0.20530350255097607,0.9465104303766237
E9,pass,0,0.0,0,0,0,0,0,48.82376790881993,341.2503099430976,-0.1933402984743943,0.9861454263720728
E10,pass,0,0.0,0,0,0,0,0,28.29440485499267,201.20244188687462,-0.17731919517658917,0.987278558727487
E11,pass,0,0.0,0,0,0,0,0,28.702022131549892,200.92181238378774,-0.185164625979522,0.9922353102678664
E12,pass,0,0.0,0,0,0,0,0,16.683224672233283,119.35867776276243,-0.163956049074223,0.9722777358073504
E13,pass,0,0.0,0,0,0,0,0,11.374940001274805,87.62924585940789,-0.1340633365003675,0.9528371904400583
E14,pass,0,0.0,0,0,0,0,0,66.07945519350159,448.82905011365045,-0.18843843150587097,0.9842055979413149
E15,pass,0,0.0,0,0,0,0,0,49.6010003725898,335.9410615360928,-0.1926893275152923,0.9943649212664927
E16,pass,0,0.0,0,0,0,0,0,39.323213508886205,263.7673070667026,-0.19103988325563373,0.9950386260474002
E17,review,1,0.09090909090909091,2,1,1,0,0,72.29216694781364,515.8918374568516,-0.20459717522739376,0.9821708280982546
E18,pass,0,0.0,0,0,0,0,0,31.85099646839586,227.55310762794844,-0.19221146980750956,0.9949946839541028
E19,pass,0,0.0,0,0,0,0,0,26.785761658520755,196.966612658188,-0.18177168629612445,0.9876941684887177
E20,pass,0,0.0,0,0,0,0,0,13.242544720900558,101.36208934085505,-0.10765722731250618,0.984717462772219
E21,pass,0,0.0,0,0,0,0,0,67.48702484689494,450.5028936924241,-0.20543406420484117,0.9926964739526397
E22,pass,0,0.0,0,0,0,0,0,40.9303577669056,284.60904747951804,-0.1961274815161243,0.9945921036965419
E23,pass,0,0.0,0,0,0,0,0,26.082573048652055,190.48502240566404,-0.18163163195378781,0.9764117631382898
E24,pass,0,0.0,0,0,0,0,0,14.642562156216142,116.81321364317787,-0.11239906159741656,0.9789029316103264
E25,review,5,0.45454545454545453,3,5,4,0,1,88.41749963127782,786.6539209834202,-0.1521706381906088,0.9167851214348037
E26,pass,0,0.0,0,0,0,0,0,25.226629360355002,225.46320426312434,-0.10687541415279779,0.9164135030774816
E27,pass,0,0.0,0,0,0,0,0,15.48419121259838,129.41795662900955,-0.07353620960843867,0.9352877565645132
E28,pass,0,0.0,0,0,0,0,0,13.555705402124676,114.56450390780537,-0.06647480028316435,0.9852010613594135
E29,pass,0,0.0,0,0,0,0,0,12.428867280380832,107.88449233132494,-0.06531248247110602,0.9718433580160213
E30,pass,0,0.0,0,0,0,0,0,10.793077149034959,99.03856394266765,-0.059727456898677485,0.7893034834450338
E31,review,11,1.0,1,0,0,0,11,8.599876740940008,89.8443558538746,-0.07262482358248258,-0.1731191514149849
E32,pass,2,0.18181818181818182,1,0,0,0,2,26.462011149746143,287.9924094491169,0.05736157972614336,0.576229595483472
E33,pass,1,0.09090909090909091,1,0,0,0,1,11.449502045633205,117.61016087187153,0.17165479439431217,0.6455171778547939
E34,pass,0,0.0,0,0,0,0,0,8.919620303161977,75.86421081329844,0.19574003872232726,0.7150817058100364
E35,pass,0,0.0,0,0,0,0,0,7.531835490107085,73.95026144917112,0.23055888942427513,0.7747755658132383
E36,pass,0,0.0,0,0,0,0,0,6.647891961571651,56.280672887579044,0.27618746618506435,0.7304144589383703
