trial,pass,review,reject,total,pass_fraction,review_fraction,reject_fraction
1,2,27,0,29,0.06896551724137931,0.9310344827586207,0.0
2,4,22,3,29,0.13793103448275862,0.7586206896551724,0.10344827586206896
3,2,25,2,29,0.06896551724137931,0.8620689655172413,0.06896551724137931
4,7,22,0,29,0.2413793103448276,0.7586206896551724,0.0
5,8,21,0,29,0.27586206896551724,0.7241379310344828,0.0
6,4,21,4,29,0.13793103448275862,0.7241379310344828,0.13793103448275862
7,8,21,0,29,0.27586206896551724,0.7241379310344828,0.0
8,2,25,2,29,0.06896551724137931,0.8620689655172413,0.06896551724137931
9,1,24,4,29,0.034482758620689655,0.8275862068965517,0.13793103448275862
10,4,25,0,29,0.13793103448275862,0.8620689655172413,0.0
11,1,26,2,29,0.034482758620689655,0.896551724137931,0.06896551724137931
