subject,trial,window_index,start_seconds,end_seconds,samples,status,issues,max_abs_uv,max_peak_to_peak_uv,over_200uv_fraction,flat_channels,variance_outlier_channels,source_path
sub-mitb2017007,1,1,0.0,4.0,1000,review,variance_outliers,315.8484794271686,373.6856336695716,0.00075,0,6,data/processed/sub-mitb2017007/trials/sub-mitb2017007_trial-01_eeg.fif
sub-mitb2017007,1,2,2.0,6.0,1000,review,variance_outliers;amplitude_warning,309.9802543443282,371.6217527543722,0.0013828125,0,9,data/processed/sub-mitb2017007/trials/sub-mitb2017007_trial-01_eeg.fif
sub-mitb2017007,1,3,4.0,8.0,1000,review,variance_outliers;amplitude_warning,314.58026043622993,379.77852534730374,0.002109375,0,7,data/processed/sub-mitb2017007/trials/sub-mitb2017007_trial-01_eeg.fif
sub-mitb2017007,1,4,6.0,10.0,1000,review,amplitude_warning,314.58026043622993,387.42459008630004,0.0016171875,0,5,data/processed/sub-mitb2017007/trials/sub-mitb2017007_trial-01_eeg.fif
sub-mitb2017007,1,5,8.0,12.0,1000,review,amplitude_warning,383.02715967748065,497.6881243538098,0.0014296875,0,5,data/processed/sub-mitb2017007/trials/sub-mitb2017007_trial-01_eeg.fif
sub-mitb2017007,1,6,10.0,14.0,1000,review,variance_outliers;amplitude_warning,383.02715967748065,497.6881243538098,0.0011875,0,6,data/processed/sub-mitb2017007/trials/sub-mitb2017007_trial-01_eeg.fif
sub-mitb2017007,1,7,12.0,16.0,1000,review,amplitude_warning,348.1474295409341,426.7887867642588,0.0011328125,0,1,data/processed/sub-mitb2017007/trials/sub-mitb2017007_trial-01_eeg.fif
sub-mitb2017007,1,8,14.0,18.0,1000,review,amplitude_warning,348.1474295409341,426.7887867642588,0.00115625,0,5,data/processed/sub-mitb2017007/trials/sub-mitb2017007_trial-01_eeg.fif
sub-mitb2017007,1,9,16.0,20.0,1000,review,variance_outliers,273.7072746995806,342.39664372781675,0.0007734375,0,6,data/processed/sub-mitb2017007/trials/sub-mitb2017007_trial-01_eeg.fif
sub-mitb2017007,1,10,18.0,22.0,1000,pass,,259.9237969511774,330.56250679480445,0.0008828125,0,5,data/processed/sub-mitb2017007/trials/sub-mitb2017007_trial-01_eeg.fif
